0;2.4
1;3.2
2;4.2
3;4.0
4;3.9
5;4.4
6;4.0
7;4.5
8;4.8
9;5.5
10;5.3
11;5.1
12;5.5
13;5.6
14;5.7
15;5.7
16;5.4
17;5.7
18;6.3
19;5.9
20;5.8
21;6.0
22;6.2
23;6.1
24;6.3
25;6.5
26;6.4
27;6.3
28;6.4
29;6.0
30;6.6
31;6.6
32;6.6
33;7.4
34;6.3
35;6.9
36;6.3
37;6.4
38;6.6
39;6.9
40;6.4
41;6.7
42;6.8
43;6.1
44;6.4
45;6.9
46;6.5
47;6.9
48;6.7
49;7.2
50;6.8
51;7.2
52;7.1
53;7.4
54;6.7
55;7.2
56;7.2
57;7.0
58;6.5
59;6.9
60;6.9
61;7.5
62;7.2
63;7.5
64;7.0
65;7.3
66;7.3
67;7.6
68;7.2
69;7.2
70;7.7
71;7.4
72;8.2
73;7.6
74;7.4
75;7.2
76;7.7
77;7.3
78;7.2
79;7.4
80;8.1
81;8.1
82;8.3
83;8.6
84;8.7
85;8.5
86;8.3
87;8.3
88;8.7
89;8.0
90;8.6
91;8.5
92;8.4
93;8.2
94;8.9
95;8.3
96;8.6
97;9.0
98;8.3
99;9.0
100;8.8
101;9.1
102;9.0
103;9.0
104;8.9
105;8.2
106;9.0
107;8.8
108;8.9
109;8.8
110;8.5
111;8.5
112;8.4
113;9.2
114;8.6
115;8.3
116;8.8
117;8.8
118;9.1
119;8.9
