0:222.633;324.264;424.855;324.917;524.892;324.959;424.925;424.95;424.951;424.949;424.96;424.958;424.943;324.975;424.976;324.984;324.98;424.988;324.977;524.986;324.991;324.991;324.992;424.986;324.994;424.984;624.959;424.993;324.997;324.997;524.992;424.997;524.998;324.997;424.997;524.996;524.997;524.834;424.997;324.995;424.995;524.994;521.593;524.993;524.996;524.996;424.997;424.998;424.997;624.997;524.997;524.997;424.998;624.997;424.999;424.999;624.998;624.998;724.998;624.998;524.999;524.999;724.999;424.999;524.999;624.999;624.999;424.999;724.999;425;524.999;524.999;624.999;424.998;524.999;624.999;624.999;524.999;424.999;524.999;524.999;525;525;525;625;725;625;525;525;625;625;525;525;525;525;625;725;625;525;625;825;525;625;725;725;525;625;525;625;525;625;625;725;725;525;625;425;924.65;525;525;
1:219.967;222.84;421.536;322.278;422.511;521.674;322.435;423.422;422.088;323.341;423.675;423.463;424.355;423.649;423.923;423.638;324.235;424.309;523.829;423.422;523.917;423.752;423.492;424.042;423.959;424.521;424.564;524.024;524.617;524.617;624.516;424.56;424.781;424.813;424.839;624.787;424.843;524.807;524.838;424.863;424.834;524.823;722.427;524.91;524.713;524.906;524.918;424.941;524.913;624.885;524.835;424.925;424.9;424.935;524.924;524.947;424.96;424.948;524.956;424.949;524.808;424.951;524.946;524.948;424.943;424.949;324.977;524.978;524.978;424.964;424.981;424.98;424.985;524.983;424.986;524.971;424.995;424.982;624.995;524.996;724.995;524.996;424.993;524.999;524.999;624.995;524.999;524.999;524.999;424.999;524.999;524.999;524.999;424.999;524.999;524.999;624.999;524.999;525;425;425;425;525;725;625;525;425;425;425;325;525;525;425;525;525;325;525;525;425;525;
2:223.62;411.121;324.041;410.443;324.426;324.155;224.141;324.222;423.978;524.246;423.939;423.998;424.107;524.13;424.417;424.432;624.429;524.492;624.453;424.541;524.604;524.545;724.421;424.67;624.811;424.695;424.766;424.709;524.746;424.778;624.742;524.834;524.807;424.868;524.903;424.779;524.883;524.826;424.926;424.913;424.924;524.859;524.922;624.921;624.953;524.952;424.957;524.918;624.93;524.901;424.954;624.95;424.967;524.968;424.942;624.959;524.958;424.97;624.97;524.967;424.987;524.992;324.994;624.989;524.988;524.988;524.99;524.985;524.989;524.992;524.987;524.992;524.991;524.993;724.994;424.996;524.996;524.992;524.992;524.992;524.992;624.996;524.996;524.991;524.996;524.996;524.996;524.989;524.997;524.992;524.995;524.995;424.997;424.997;524.998;424.999;424.999;524.996;524.998;724.996;524.996;524.997;424.997;424.997;524.998;524.997;524.999;524.998;524.999;424.999;425;525;624.999;624.999;524.999;524.998;525;524.998;424.999;524.998;
3:223.904;124.836;224.353;324.699;323.462;224.854;223.467;323.436;222.443;323.553;324.395;323.769;224.933;323.614;423.735;223.847;323.609;224.156;224.315;324.211;224.279;224.466;324.427;224.61;324.39;324.642;424.648;324.659;324.666;324.69;224.592;324.546;324.597;224.748;324.836;424.574;324.836;224.858;324.892;324.901;224.914;424.884;224.908;224.895;524.861;424.758;324.931;224.933;224.929;324.947;324.895;324.903;324.92;324.958;224.967;424.977;224.976;324.973;324.978;524.987;424.987;524.984;224.985;424.98;324.992;324.993;324.991;224.989;224.993;424.992;324.992;324.976;324.991;324.994;224.994;224.996;224.996;324.993;324.995;224.996;224.997;324.995;224.998;224.997;324.999;324.995;324.999;224.996;324.999;224.999;324.999;224.999;224.999;224.999;224.999;224.999;324.999;325;224.999;324.999;225;319.64;325;325;325;225;125;225;225;325;325;225;525;525;325;225;425;425;325;425;
4:424.14;324.731;424.676;424.687;524.679;424.718;424.814;424.811;624.675;524.765;424.788;524.511;424.677;424.811;524.774;424.801;524.885;524.837;424.902;524.888;424.906;424.926;524.922;624.937;624.953;724.951;524.962;524.95;524.963;424.964;524.966;524.966;524.965;624.976;524.976;424.974;424.983;424.984;424.983;424.98;424.982;424.987;524.976;524.969;524.984;524.942;624.955;524.991;624.99;424.994;624.99;524.995;624.995;424.997;424.996;524.998;524.998;624.997;524.995;624.998;524.997;524.998;424.998;524.997;424.999;524.998;524.998;424.999;524.999;524.998;524.999;424.999;624.999;624.999;524.999;624.999;424.999;424.999;424.999;424.999;625;525;525;525;525;625;525;525;625;625;525;425;625;525;425;525;525;525;525;625;525;725;525;725;625;525;425;625;525;525;525;625;525;425;425;525;625;525;525;425;
5:124.989;304.015;206.443;209.38;124.834;224.559;324.808;324.81;424.863;424.85;324.75;524.82;424.86;424.806;424.903;524.836;424.811;624.882;424.866;624.879;524.878;424.906;524.885;624.883;524.944;524.939;424.948;424.968;524.958;524.936;524.957;424.943;424.954;424.974;524.914;424.949;524.908;424.976;524.901;619.839;524.917;524.98;724.93;524.979;424.982;524.977;524.984;424.989;424.993;424.994;524.993;624.992;424.992;724.988;524.989;524.989;524.988;524.993;424.987;524.991;524.992;424.991;424.992;524.993;424.991;424.993;424.988;424.991;724.992;624.988;624.993;624.991;524.991;524.993;524.992;424.993;524.99;524.995;424.99;524.995;524.997;524.998;624.998;524.994;524.995;624.994;624.895;624.988;624.989;424.993;424.994;524.986;618.196;424.996;624.997;424.997;424.996;524.998;624.998;524.997;424.998;524.998;424.999;324.999;424.998;624.998;524.807;424.801;524.999;524.868;524.999;424.999;623.142;524.698;524.999;624.999;524.999;524.999;325;425;
6:219.49;218.751;312.145;224.433;411.712;509.343;409.312;512.113;516.508;413.194;416.649;516.848;420.005;615.889;418.239;520.293;518.486;420.866;420.188;518.429;719.184;618.292;620.76;620.047;420.615;522.263;522.431;523.185;622.789;621.91;523.483;523.516;623.423;622.016;723.222;523.468;523.784;623.687;623.758;724.012;424.228;723.111;524.407;622.339;624.142;624.441;524.475;624.356;624.49;623.197;624.637;624.589;524.681;624.539;624.698;824.576;524.616;621.986;524.355;524.742;624.678;624.882;624.753;724.812;624.859;524.847;624.89;424.911;618.253;624.915;524.905;624.809;524.856;724.728;624.889;724.881;524.862;524.918;724.851;624.783;524.917;624.865;524.87;724.879;524.889;615.017;614.898;824.81;719.086;724.777;524.858;724.856;524.755;524.796;424.779;524.813;624.801;524.55;624.839;724.842;824.893;624.892;624.905;824.812;524.928;724.924;524.896;722.046;524.929;524.926;824.941;524.934;624.928;624.939;524.922;624.9;524.912;524.946;524.945;624.967;
7:224.667;424.709;424.677;624.714;724.736;624.654;624.837;524.772;524.846;524.877;524.843;524.89;424.896;624.895;724.918;524.903;724.919;624.918;524.897;719.32;624.951;524.963;624.961;724.938;624.966;524.97;724.48;612.391;524.98;524.981;524.982;724.99;524.98;524.986;424.988;524.988;524.983;624.984;524.981;524.986;524.987;524.992;724.993;724.991;424.995;624.992;524.996;624.99;624.997;524.997;524.997;524.995;624.997;624.996;524.998;724.998;524.998;624.998;822.499;524.998;524.996;724.996;624.999;524.999;524.999;624.998;724.999;524.999;524.999;624.999;524.999;524.999;724.599;524.999;624.999;524.999;524.999;524.999;624.999;624.999;524.999;524.999;624.999;624.999;624.999;624.999;425;723.949;624.999;524.999;624.999;525;524.998;624.999;524.998;624.998;724.249;524.999;524.999;724.999;721.699;624.999;724.999;624.999;725;625;425;525;525;624.8;725;525;525;525;525;525;525;525;525;725;
8:220.507;304.98;224.972;224.956;224.979;303.818;224.984;324.851;224.992;224.986;224.974;311.279;224.999;224.996;324.999;324.985;313.895;212.597;312.842;311.628;309.351;312.077;313.322;412.672;311.405;312.754;316.307;312.742;313.193;312.525;315.955;315.602;216.042;216.194;315.079;317.546;218.596;316.891;318.376;218.22;317.385;218.042;318.219;321.225;321.251;220.723;321.455;320.698;321.419;321.094;322.584;322.847;223.02;223.01;323.519;323.529;322.114;419.731;518.617;422.144;419.519;518.705;422.407;421.562;422.82;523.379;619.505;422.781;620.668;519.288;418.973;617.111;417.606;420.475;422.696;519.509;423.498;522.228;423.362;515.798;517.745;521.775;619.27;517.271;517.427;521.695;521.556;519.96;421.291;519.985;418.683;619.477;518.832;516.656;514.294;620.271;523.138;421.138;521.675;522.037;622.796;520.356;416.286;424.071;423.75;422.642;419.205;524.141;424.226;524.021;621.861;424.38;521.117;524.045;622.115;524.615;524.082;423.689;524.693;424.85;
9:223.816;323.605;314.064;223.393;315.736;316.012;414.438;219.082;319.019;415.704;314.946;415.757;315.999;416.75;516.99;220.689;422.065;421.985;321.799;520.103;521.941;422.309;422.656;422.845;422.79;421.662;523.228;323.216;423.375;523.199;422.834;523.596;423.807;424.112;424.043;524.33;423.673;523.402;623.328;423.487;522.892;623.859;523.17;523.389;523.194;523.609;524.077;623.442;423.556;423.792;523.765;523.651;623.928;424.147;524.125;524.182;524.083;523.361;523.351;624.096;524.196;524.146;623.031;523.067;522.959;523.233;622.837;622.654;722.406;423.165;616.388;717.222;523.665;623.345;622.518;623.413;523.601;523.369;623.673;523.305;523.481;523.995;524.243;524.291;523.896;523.896;523.905;524.557;524.501;524.596;624.463;724.619;624.605;624.691;524.699;624.705;624.715;620.225;524.75;624.705;724.713;624.803;824.656;524.741;617.769;624.646;524.847;724.27;624.836;624.82;624.852;524.867;624.854;724.819;524.876;624.852;624.85;524.887;624.866;524.898;
