0:204.078;212.68;224.809;224.85;224.844;124.865;224.864;224.891;324.855;324.926;224.941;224.942;124.95;324.915;423.543;323.222;523.348;523.508;423.43;623.1;423.213;523;523.679;423.845;423.969;423.792;524.336;623.479;523.573;521.466;524.283;424.412;523.019;523.124;423.687;623.357;423.569;523.408;523.402;522.207;522.626;424.681;424.651;424.758;524.718;324.818;424.643;524.64;524.653;524.673;724.847;424.854;524.851;524.866;424.926;524.919;424.93;624.935;524.92;424.935;524.92;524.939;524.969;524.97;424.952;524.929;524.961;524.965;624.955;624.978;524.974;424.985;524.968;624.982;424.989;524.987;524.988;524.992;424.993;424.994;424.994;624.99;524.995;624.994;624.994;524.995;624.992;424.996;524.997;524.997;524.993;424.998;624.995;524.994;524.994;424.996;524.994;524.996;624.994;424.996;424.997;524.997;424.997;424.997;724.997;424.998;524.996;524.999;424.999;624.999;624.999;424.999;524.999;624.999;624.999;524.999;524.999;524.999;524.999;424.999;
1:224.387;224.88;324.838;324.791;324.928;523.092;524.875;324.855;424.873;324.849;323.645;424.924;323.532;323.9;424.933;424.027;424.479;324.231;423.869;423.607;524.128;324.057;424.903;324.534;524.93;324.457;424.93;524.36;624.577;424.815;424.92;524.957;624.951;324.883;524.813;424.971;424.899;324.961;624.81;524.788;424.872;524.599;624.84;424.794;624.934;424.947;724.376;524.553;624.903;524.864;524.946;424.957;424.933;424.504;424.89;424.964;524.806;524.924;424.954;324.929;424.951;424.786;424.694;324.971;424.957;424.96;524.853;524.844;424.905;524.95;424.929;424.961;624.931;524.75;524.843;624.96;524.934;424.963;324.966;524.892;424.931;624.924;524.867;424.952;424.89;424.957;424.957;524.856;424.961;524.916;524.866;424.946;424.934;524.863;524.807;424.867;424.947;424.919;424.938;524.939;524.972;524.962;524.983;624.974;524.981;524.957;424.984;524.953;424.975;424.96;424.937;424.99;524.989;424.976;524.974;324.987;624.98;424.985;524.967;624.988;
2:207.184;722.475;221.87;422.333;422.26;321.95;421.851;222.38;322.629;223.207;323.333;322.707;422.998;523.98;323.952;620.216;723.867;624.009;624.171;524.249;524.094;624.261;624.287;624.358;524.216;624.073;623.455;524.216;623.785;523.972;624.088;724.618;624.592;624.489;624.569;724.375;624.698;424.786;524.765;524.799;724.532;624.717;524.833;524.684;624.8;724.807;624.768;524.872;424.879;524.872;524.836;624.901;524.91;524.914;524.902;724.842;624.889;624.924;624.872;624.872;624.871;524.888;624.918;624.883;624.878;624.905;524.937;724.882;524.896;624.93;524.94;624.924;624.951;524.944;724.925;624.947;624.961;624.917;622.492;624.939;524.966;524.959;524.966;724.913;524.962;624.95;624.96;624.956;624.963;624.968;524.969;524.959;424.978;524.974;424.981;424.986;524.985;624.98;524.98;524.99;624.988;624.99;624.981;624.976;524.994;524.994;524.993;624.99;524.989;524.994;524.983;624.993;524.995;624.993;424.997;424.998;524.995;624.995;724.998;424.999;
3:323.81;318.31;321.87;421.478;322.304;517.657;519.455;422.377;422.954;623.043;423.098;423.435;423.674;522.738;423.827;623.702;424.121;424.119;324.436;524.026;524.282;524.038;523.864;524.096;624.329;724.152;424.075;324.621;424.546;424.46;524.399;424.006;324.604;524.5;524.202;424.423;524.453;624.109;424.73;424.745;524.193;524.791;524.775;524.76;524.395;624.786;524.162;524.872;424.897;524.893;724.607;424.914;524.916;424.939;424.952;624.948;524.941;624.958;524.958;624.959;624.943;524.942;524.971;524.979;524.978;524.967;612.68;524.988;524.95;624.965;524.974;524.978;524.968;524.966;424.975;424.985;524.959;524.976;524.976;524.981;524.972;624.98;624.971;624.983;524.969;524.971;524.987;524.984;524.987;524.985;524.985;524.99;524.974;624.986;524.991;524.987;524.99;424.994;624.993;724.989;624.995;424.993;524.997;524.997;524.997;524.997;424.996;424.998;424.998;624.998;524.998;624.998;624.999;624.998;424.998;424.999;524.998;624.97;524.998;524.997;
4:524.869;524.857;124.891;223.149;307.756;223.993;322.996;323.92;523.849;524.385;424.154;624.292;523.166;624.337;524.036;524.631;424.782;618.369;524.618;724.645;724.722;424.792;524.669;524.757;624.709;624.447;524.727;524.919;424.864;324.902;424.822;424.893;524.646;524.817;624.558;524.951;624.902;524.723;524.819;524.933;524.927;624.895;524.893;524.962;424.96;524.822;524.824;524.845;524.875;524.943;524.876;524.596;424.851;624.83;524.897;424.872;524.915;524.942;524.858;424.942;624.886;624.892;524.935;524.86;624.816;424.922;624.938;624.542;524.844;724.943;624.961;524.906;524.987;724.951;424.97;524.971;524.993;524.975;524.976;524.973;524.989;524.976;724.929;524.938;524.88;524.964;624.98;524.988;424.996;524.991;524.99;524.992;524.992;624.976;524.991;524.981;424.973;524.994;724.972;624.988;424.996;524.982;524.992;524.996;524.997;524.998;724.995;524.995;524.997;424.998;624.993;624.997;524.998;524.999;424.994;624.996;524.997;524.998;624.996;524.999;
5:121.496;222.901;224.474;224.881;324.771;324.266;324.897;324.875;424.904;424.893;524.906;524.924;524.92;724.935;724.924;624.912;724.928;624.936;724.952;624.947;524.949;624.96;424.96;624.953;520.829;624.983;524.98;624.781;624.971;624.981;524.987;624.987;524.981;624.979;624.986;624.991;621.642;424.99;524.992;624.992;724.992;524.992;822.589;524.991;524.992;624.996;724.996;624.997;624.996;424.997;524.998;624.998;424.998;524.997;524.998;524.998;524.998;624.996;624.998;524.998;624.999;624.999;624.999;524.999;624.999;524.999;624.999;524.999;624.999;524.891;525;625;425;425;424.999;425;425;524.999;624.999;724.999;425;524.999;624.999;525;625;625;625;625;625;525;525;725;525;525;622.75;625;525;625;525;525;525;625;625;525;625;825;625;525;625;625;525;625;625;525;725;625;625;725;524.985;725;
6:413.707;211.224;201.652;216.028;212.36;214.996;311.684;313.953;313.901;417.998;315.604;218.532;315.981;219.232;317.247;519.775;218.135;315.846;316.369;317.964;317.763;415.094;415.072;418.371;419.425;410.399;619.66;321.766;321.014;322.536;323.794;522.263;424.79;424.943;524.935;524.936;524.915;624.939;524.931;624.931;624.948;524.956;524.96;524.922;524.875;624.971;724.978;524.964;624.979;424.988;724.973;524.991;524.985;424.987;724.982;624.989;724.984;524.983;716.792;524.994;524.993;424.993;624.994;619.844;624.99;624.993;624.994;624.997;524.998;524.997;524.996;524.998;524.998;524.998;523.248;624.997;624.997;624.996;624.996;624.999;624.996;618.899;624.997;524.998;524.999;524.999;624.998;524.999;524.999;724.998;524.999;524.999;624.998;724.998;524.999;524.999;525;624.999;624.999;624.999;725;624.55;720.449;425;625;525;625;525;625;625;525;525;525;425;425;625;425;525;525;525;
7:322.351;523.833;219.307;224.953;224.951;224.914;224.959;324.944;220.785;319.863;417.634;321.797;321.537;319.423;419.43;420.074;422.63;421.695;518.151;622.144;322.731;522.677;421.451;520.654;421.735;522.177;423.028;422.899;422.511;523.237;522.926;623.44;523.213;423.4;523.437;423.591;423.407;423.801;424.063;524.195;523.352;424.104;524.101;424.111;523.708;724.18;724.14;424.1;424.1;524.059;624.144;623.89;424.362;524.357;424.46;524.526;424.451;424.652;524.342;524.489;424.429;524.292;524.319;524.191;624.369;524.382;524.281;524.478;524.425;523.909;524.601;524.636;624.506;524.662;524.629;624.627;624.516;624.513;524.72;524.628;524.743;624.747;724.847;524.826;619.756;524.882;624.854;624.921;524.914;524.906;624.348;624.907;624.856;624.962;524.954;624.949;724.959;524.922;524.961;624.953;624.958;624.948;424.943;624.958;624.961;624.957;524.968;622.021;524.972;524.973;724.968;524.956;524.959;724.967;624.963;524.977;524.977;624.977;724.979;623.486;
8:121.351;324.891;423.933;524.956;424.894;324.893;424.47;324.958;424.9;424.951;324.97;424.971;424.977;424.961;424.96;424.979;424.476;524.686;524.956;424.988;524.775;424.987;324.993;624.984;524.99;624.982;624.373;424.994;324.994;424.991;424.988;524.877;524.573;524.99;524.88;524.988;624.812;424.887;524.767;624.782;623.618;624.853;619.832;524.848;524.978;524.978;424.983;624.976;524.973;524.987;424.987;424.883;524.976;524.971;724.83;624.856;424.172;324.991;624.984;624.771;524.804;624.772;624.982;524.983;524.82;624.786;624.994;424.997;424.917;524.706;424.849;624.565;524.975;524.938;424.997;622.146;424.998;524.996;524.945;524.916;524.998;424.998;524.809;424.998;424.967;524.947;424.999;724.998;624.927;624.998;524.998;524.945;524.998;624.999;424.998;424.999;624.998;624.998;524.998;524.997;524.905;524.912;524.297;524.998;524.561;624.997;624.995;724.995;524.996;524.993;724.997;624.851;524.904;524.997;624.997;624.846;524.998;524.888;515.747;524.996;
9:416.607;124.812;124.697;324.755;324.755;424.849;224.837;424.778;224.765;324.795;324.769;424.801;524.646;424.819;624.925;424.92;424.831;424.873;324.734;324.718;624.773;415.591;323.077;324.734;324.856;324.766;424.228;424.811;524.743;324.858;524.873;424.756;324.587;624.706;424.673;523.487;624.73;424.677;424.709;324.415;524.501;424.784;424.394;624.278;524.712;624.851;324.856;423.943;424.213;324.815;424.549;424.937;422.632;424.798;424.77;524.835;524.384;424.78;424.955;424.404;524.54;424.898;424.963;624.568;424.952;524.746;424.814;524.355;424.837;424.966;424.474;424.952;324.959;424.956;424.965;424.927;524.969;424.924;424.128;624.97;424.966;524.615;424.514;524.971;524.953;624.538;424.818;424.973;424.888;524.973;424.868;424.972;424.986;324.984;524.236;324.989;524.983;524.99;524.612;424.76;424.97;424.969;424.992;524.973;424.285;624.988;624.981;424.986;524.207;624.796;621.041;524.948;524.988;724.993;624.991;524.995;524.994;624.997;824.997;524.992;
