0:123.887;424.07;623.541;523.828;723.361;624.018;723.43;623.375;522.263;723.59;923.476;624.039;723.427;823.696;623.027;523.493;623.473;524.16;824.178;724.262;
1:121.621;324.559;324.637;324.961;324.962;324.705;324.732;424.962;324.963;424.848;424.892;524.58;424.838;324.84;424.868;424.817;424.88;424.812;424.955;424.925;
2:208.555;118.016;118.52;218.533;312.227;118.25;314.913;215.435;217.619;314.576;216.142;512.875;411.319;217.08;315.951;216.368;314.744;314.744;215.663;216.333;
3:119.064;24.801;24.7701;24.8111;24.851;24.8387;124.789;224.849;24.8567;124.814;24.9116;124.847;124.899;124.842;24.9488;24.963;124.938;124.923;24.9639;24.9752;
4:202.426;124.828;324.805;324.687;324.775;224.842;324.81;324.807;324.658;424.835;324.825;424.661;424.802;424.779;224.831;324.81;324.847;324.878;524.833;424.822;
5:124.709;124.708;124.786;324.394;124.836;124.65;124.928;124.813;24.9558;24.9557;124.258;224.885;224.903;224.937;224.97;324.937;324.885;224.987;124.972;124.961;
6:212.391;323.071;522.766;422.496;323.329;522.896;622.341;422.952;422.44;422.703;522.527;423.084;722.549;522.86;423.186;522.895;323.196;323.301;522.693;622.984;
7:222.115;221.341;521.476;621.366;421.623;520.417;620.444;521.849;521.8;621.85;722.115;622.098;821.906;421.843;422.037;620.782;621.538;621.218;621.759;522.095;
8:111.292;221.968;221.669;322.123;422.21;419.678;422.404;322.547;222.53;322.517;422.825;321.865;422.653;221.77;522.763;520.863;221.426;424.552;321.587;318.725;
9:224.916;524.868;324.875;524.844;324.94;424.905;324.923;424.919;524.906;724.834;324.941;224.95;424.942;324.956;324.941;424.93;424.93;324.959;424.925;424.93;
10:314.072;420.034;424.814;317.901;324.833;424.838;420.46;524.935;424.952;424.953;424.937;524.96;324.958;624.954;524.886;424.969;424.878;524.879;524.945;424.928;
11:224.67;224.63;224.756;510.405;224.693;224.794;409.65;224.674;224.702;324.474;324.592;224.768;224.698;324.71;224.849;424.717;224.824;224.841;224.784;224.96;
