0:519.927;724.888;818.684;824.904;724.899;524.92;824.91;817.298;718.668;720.363;724.831;817.886;924.353;819.909;719.135;919.315;719.935;819.609;820.406;819.058;
1:124.185;507.538;305.743;407.6;406.534;608.003;407.847;307.692;408.239;507.1;408.422;409.41;307.208;407.767;822.719;722.481;922.891;823.026;823.609;823.222;
2:524.275;522.4;723.246;722.356;822.648;623.857;622.492;724.075;723.234;723.753;722.644;822.81;923.244;723.211;922.482;724.826;824.839;824.812;824.86;724.864;
3:321.589;821.661;822.242;922.119;821.949;922.129;922.157;921.95;922.202;822.171;921.773;722.1;922.228;921.795;822.006;821.94;921.541;822.524;822.162;1021.14;
4:624.923;624.923;624.925;424.931;324.911;524.914;724.915;524.928;524.945;624.923;722.994;620.528;620.833;720.846;721.034;722.453;723.301;622.538;722.638;721.923;
5:219.388;318.998;519.441;519.884;519.714;518.689;718.431;720.201;620.928;620.969;719.262;720.787;819.336;821.382;721.021;720.942;721.479;821.889;721.037;721.781;
6:224.662;124.991;424.992;224.992;324.992;424.992;424.914;424.993;624.992;624.991;524.993;424.991;324.992;324.994;424.993;524.987;424.993;524.994;524.993;324.996;
7:124.711;415.74;617.48;715.867;518.451;619.7;817.863;719.329;719.764;620.424;819.475;819.674;919.731;718.283;820.651;818.703;721.918;720.955;720.326;720.924;
8:124.974;211.753;311.178;314.23;312.533;514.347;408.542;417.844;313.121;511.419;410.686;315.603;410.414;310.512;411.521;411.91;410.129;413.457;309.846;312.372;
9:310.298;509.694;607.836;407.915;424.918;424.915;724.916;524.914;624.932;724.928;624.935;524.94;724.914;324.902;624.843;524.928;724.917;424.928;624.901;824.901;
10:317.04;620.611;624.643;724.21;624.337;624.383;724.877;724.91;724.822;924.822;724.942;824.626;924.895;824.947;924.779;724.921;824.89;824.923;924.936;924.914;
11:424.569;419.161;524.778;724.795;424.713;624.82;424.716;424.788;424.695;624.844;724.859;724.763;724.785;424.852;524.778;724.575;524.675;624.675;524.785;524.776;
12:223.875;424.927;422.155;724.992;1024.24;824.993;924.993;924.995;1022.64;1022.19;924.995;1024.3;924.994;1022.65;824.995;1019.45;824.997;1021.35;924.996;924.996;
13:311.801;510.63;414.003;412.151;417.437;514.369;415.242;614.539;516.791;612.648;613.622;615.157;715.754;616.218;616.169;617.216;716.128;619.452;618.964;721.421;
14:824.572;924.562;1021.37;924.634;1020.26;924.718;924.763;824.748;824.78;1023.91;924.724;924.777;924.784;924.805;924.831;824.838;824.843;924.876;824.881;924.878;
