0:219.746;220.137;321.329;421.211;418.586;419.771;320.578;420.958;220.62;320.908;521.046;521.392;321.288;321.406;521.159;320.556;421.044;321.601;321.535;221.688;
1:423.866;722.727;623.411;823.656;623.659;620.944;623.401;323.594;723.746;423.888;723.535;723.559;423.997;723.35;523.993;523.767;524.083;523.916;523.533;623.506;
2:324.985;424.979;224.979;424.985;124.987;324.985;324.989;424.99;524.99;324.988;424.984;524.986;524.987;524.988;324.98;324.985;424.982;524.99;524.986;424.984;
3:207.11;416.693;316.97;514.663;416.28;511.326;515.737;309.506;316.833;205.957;514.468;315.409;509.299;415.053;316.567;410.899;515.142;412.766;416.007;412.686;
4:416.791;517.789;417.398;517.303;418.043;519.427;318.64;319.918;319.608;420.39;319.323;420.12;520.667;321.081;321.624;321.532;320.357;221.556;321.917;322.094;
5:124.911;224.913;224.905;224.895;224.779;224.902;224.888;124.918;324.924;224.842;224.898;324.903;224.865;324.799;224.884;124.899;224.902;224.9;424.874;124.903;
6:422.486;522.304;422.889;522.676;520.334;521.997;522.707;622.547;521.878;622.046;522.533;620.827;422.765;521.384;620.16;521.247;521.362;422.423;520.989;521.765;
7:316.907;417.199;517.244;617.483;518.196;618.198;518.654;619.323;617.507;719.262;819.483;519.941;720.538;921.192;720.342;721.172;721.394;821.337;821.864;822.171;
8:423.218;523.073;423.306;423.323;423.125;422.527;622.876;322.996;523.146;422.522;522.884;422.452;523.066;423.192;521.898;523.159;523.091;422.655;422.818;422.137;
9:424.994;524.995;524.994;524.992;524.994;524.991;524.994;624.992;424.992;824.995;524.995;424.992;524.992;524.99;424.995;524.991;524.992;524.831;624.988;424.991;
10:423.762;624.403;523.579;524.373;524.198;624.387;424.366;523.313;724.422;724.074;724.334;524.288;724.007;724.307;824.387;823.979;824.277;824.285;724.333;624.32;
11:724.974;924.976;1024.97;924.976;924.976;924.974;924.975;1022.58;824.979;824.977;924.979;824.981;924.982;924.982;924.983;924.984;924.984;1020.99;924.983;824.982;
12:519.979;520.031;521.393;620.236;820.348;521.045;621.866;721.717;621.391;621.221;621.794;721.747;721.898;521.887;422.078;521.579;621.828;721.359;622.202;621.897;
13:124.349;224.434;224.177;224.236;224.414;324.128;424.403;224.318;324.212;324.503;324.354;224.187;324.253;324.342;224.357;124.972;224.54;224.374;324.558;324.659;
14:414.412;615.735;615.228;514.388;514.741;613.963;514.03;514.069;613.525;515.555;515.637;516.024;517.335;617.278;517.986;617.73;517.914;718.099;517.763;618.403;
15:306.834;505.62;409.651;314.467;408.038;313.776;315.327;312.236;312.761;315.445;411.046;408.078;404.773;407.726;407.248;413.663;310.593;408.418;411.216;408.726;
16:100.186;100.201;100.165;100.155;0.879521;0.75452;0.953985;100.213;100.244;1.02314;100.177;0.943389;0.972452;100.918;0.874963;100.439;101.125;1.13265;100.161;100.263;
17:207.144;308.215;206.693;507.527;307.764;407.658;409.049;209.59;409.659;309.272;209.845;309.848;210.195;307.742;310.158;310.361;409.595;310.487;310.052;310.067;
18:121.996;322.413;621.265;323.829;622.936;622.886;722.914;523.051;623.011;622.131;623.174;721.552;623.29;623.822;822.775;623.9;723.936;524.174;723.762;722.967;
19:324.138;724.301;624.224;623.98;724.226;824.142;624.265;624.33;624.376;624.281;524.324;624.493;524.516;523.677;523.914;723.928;523.811;723.634;523.549;623.709;
20:417.146;515.869;514.127;515.969;513.049;514.926;516.892;515.361;515.69;515.905;616.167;613.58;615.156;616.071;515.902;419.085;419.301;518.004;717.285;619.086;
21:421.795;620.583;619.36;718.609;719.708;720.071;719.76;620.577;620.902;621.194;720.282;620.526;717.525;521.467;620.887;621.376;621.483;621.924;720.9;622.731;
22:523.343;724.358;822.342;824.225;824.165;721.931;724.065;722.096;824.033;823.054;823.574;924.189;923.556;824.169;924.189;822.899;724.477;724.12;724.225;723.83;
23:316.331;315.888;416.819;315.993;415.273;315.415;415.923;416.411;416.951;317.576;417.829;318.893;320.075;418.529;518.521;319.742;419.102;519.08;419.213;520.082;
24:424.415;424.493;724.625;824.638;724.583;624.377;824.538;724.532;524.539;524.574;724.545;424.618;524.508;324.687;424.683;724.575;424.675;724.496;624.613;624.47;
25:308.562;209.331;109.576;208.806;110.307;108.902;109.152;108.943;210.896;210.501;112.622;212.659;112.76;115.365;113.716;114.914;114.697;213.906;115.286;112.226;
26:524.938;624.944;524.945;624.951;624.958;724.961;624.965;524.955;624.959;424.963;624.958;624.963;624.962;624.971;624.972;524.974;824.973;624.976;624.976;624.976;
27:418.4;517.988;517.569;517.263;516.544;618.853;518.11;617.582;720.301;618.259;618.21;519.398;414.925;516.989;315.891;515.859;416.383;416.831;620.382;517.635;
28:624.857;624.874;624.891;824.879;624.879;624.909;724.877;524.904;724.909;724.9;824.929;624.887;724.925;724.92;724.878;524.913;724.946;624.901;724.936;724.955;
