0:423.764;423.297;424.981;324.989;524.064;524.975;524.974;624.967;624.982;724.979;824.944;724.982;624.963;724.964;724.939;824.959;824.977;724.98;924.97;924.985;
1:218.699;417.596;412.869;413.533;316.435;423.712;524.405;723.976;624.443;724.558;923.566;724.597;724.752;624.774;524.721;724.572;724.556;724.874;724.728;824.829;
2:422.965;522.745;722.929;622.682;723.415;623.304;523.427;423.393;623.827;823.483;723.532;723.428;723.126;823.546;724.005;824.055;724.323;821.574;824.266;724.206;
3:623.598;823.268;524.092;423.442;623.296;523.502;524.162;424.19;824.11;723.852;523.975;624.297;524.018;724.628;924.29;924.427;824.694;724.622;924.645;724.604;
4:119.212;318.364;418.425;416.887;418.485;418.322;619.351;514.339;420.3;521.649;621.66;622.396;621.795;522.538;423.927;722.721;623.619;723.95;821.823;623.524;
5:324.629;524.625;824.708;624.566;524.653;624.701;624.686;824.746;624.709;624.765;724.788;624.811;624.806;624.803;724.659;724.835;724.889;723.935;624.824;924.83;
6:123.917;516.304;420.874;720.7;621.253;721.678;719.641;521.004;521.827;521.177;620.719;623.056;723.361;823.652;823.196;823.004;621.319;722.868;823.097;722.69;
7:123.339;414.335;214.891;124.277;416.13;223.427;315.465;214.791;616.39;814.974;415.231;519.167;516.755;214.428;616.692;515.92;616.592;615.639;521.762;715.98;
8:124.819;224.829;524.984;524.988;524.989;524.985;624.991;424.989;324.988;510.925;324.995;424.981;424.983;524.986;424.688;524.983;424.956;424.983;524.968;524.972;
9:522.92;222.603;223.114;423.072;623.308;724.079;824.267;724.3;724.26;823.918;724.406;723.897;724.33;824.122;524.356;824.148;724.454;924.523;724.399;624.552;
10:224.92;424.941;423.705;623.976;423.722;724.143;624.118;723.945;624.128;623.805;623.709;623.958;724.47;724.568;724.454;724.473;624.458;724.398;824.268;724.166;
11:218.27;423.971;324.25;424.114;524.368;824.217;624.397;724.286;624.569;724.441;824.415;1022.21;924.247;824.253;824.276;724.509;824.37;724.391;824.309;924.327;
12:224.549;624.253;623.956;624.384;724.157;724.53;924.579;724.723;924.673;824.672;924.512;824.478;724.619;924.567;624.753;924.592;824.795;824.765;924.781;824.786;
