0:121.333;21.9617;120.114;120.409;121.158;120.493;120.645;121.323;319.443;121.294;23.1156;121.959;24.1683;123.72;123.934;122.783;124.161;124.094;24.4065;124.363;124.438;24.4816;24.6268;124.618;124.46;24.5621;24.6224;124.609;124.199;124.359;24.7073;24.7895;24.8197;124.074;24.8694;124.881;124.903;124.715;124.93;124.931;124.641;124.958;24.9657;124.956;24.9646;124.967;124.968;124.966;24.9767;24.981;124.982;24.9839;24.9876;24.9899;124.991;24.9932;124.993;124.994;24.996;24.9955;24.9959;24.9971;24.9977;124.993;24.9987;124.999;24.9992;24.9994;24.9994;24.9997;24.9999;24.9997;24.9998;24.9998;24.9999;24.9999;24.9999;125;25;25;125;25;125;125;25;25;124.995;25;25;25;125;25;25;25;25;124.999;25;125;125;25;25;25;125;125;25;25;25;25;125;25;25;125;125;125;25;25;25;25;25;225;25;125;25;25;25;25;25;125;25;125;125;25;125;25;25;25;125;25;25;25;125;25;125;125;25;125;25;25;25;25;25;25;25;25;125;25;25;125;25;25;25;125;25;125;25;25;25;125;125;25;125;25;125;125;25;125;25;25;25;25;125;25;25;125;125;125;125;25;25;25;25;125;25;125;125;125;125;25;25;25;
1:323.484;623.288;623.632;523.715;623.813;423.646;423.915;523.934;423.904;623.932;623.929;524.155;524.114;624.168;624.067;724.074;624.141;624.067;424.032;623.931;423.912;524.14;723.722;523.992;524.098;624.247;624.156;524.18;624.224;824.097;424.344;524.447;624.521;624.686;624.717;624.755;624.771;524.811;624.83;524.846;624.86;624.893;624.896;724.858;524.823;824.825;524.882;524.895;624.892;624.924;524.921;624.892;624.924;624.913;624.932;524.935;624.94;724.937;824.925;724.908;524.92;524.9;624.906;724.891;524.908;724.91;624.931;624.928;624.922;524.929;724.91;624.918;624.933;524.942;524.941;624.938;424.957;724.951;524.958;524.962;524.946;524.953;524.962;524.968;624.962;724.951;724.962;524.973;624.968;624.968;624.967;424.981;424.977;624.972;424.979;524.98;624.98;524.978;424.98;524.978;524.986;424.981;524.972;624.965;624.98;424.982;624.973;424.985;424.988;624.978;624.979;424.984;524.982;424.982;524.987;524.982;524.984;524.985;524.984;424.988;424.988;624.99;524.992;624.992;824.991;524.991;624.993;524.994;624.994;624.993;524.993;424.994;424.996;424.995;524.994;524.994;524.996;624.996;424.997;424.997;424.997;424.998;624.998;524.998;524.999;724.998;524.998;524.999;624.999;624.999;424.999;424.999;624.999;524.999;624.999;424.999;524.999;224.999;424.999;424.999;424.999;424.999;324.999;624.999;424.999;424.999;324.999;325;424.999;324.999;524.999;325;724.999;524.999;324.999;524.999;624.999;324.999;424.999;424.999;425;624.999;724.999;524.999;724.999;625;425;525;525;525;625;425;525;725;625;625;525;625;525;625;
2:423.863;423.716;324.162;424.457;424.273;524.352;524.3;524.43;524.067;523.988;623.863;623.858;424.07;724.061;524.161;524.182;424.189;524.498;724.479;524.584;524.626;624.627;624.722;524.695;624.743;624.764;724.747;724.744;624.749;524.788;524.848;424.83;224.867;524.871;524.839;224.849;724.876;524.883;624.888;624.921;724.933;624.936;524.911;824.948;724.951;724.96;724.959;624.962;624.955;724.965;624.964;824.965;924.965;924.958;624.961;624.968;624.968;724.97;524.966;524.964;524.966;724.967;624.961;624.95;424.971;624.973;724.979;424.976;724.982;624.981;424.981;424.984;624.98;524.984;724.982;624.981;624.977;624.982;724.979;724.977;824.98;624.978;724.981;524.98;624.984;624.986;724.987;524.986;524.986;624.987;724.985;524.976;724.979;524.984;624.984;724.987;624.985;724.986;624.987;524.985;624.989;624.987;524.985;624.986;524.985;524.988;524.99;424.991;424.993;524.993;424.993;424.99;624.992;724.993;524.992;724.993;424.988;324.993;524.995;524.995;624.993;624.995;524.994;524.994;624.993;524.993;524.996;524.997;624.997;624.997;524.996;624.996;424.997;524.998;524.996;624.997;624.997;424.998;324.997;524.997;424.996;524.997;524.997;524.998;424.998;424.996;524.998;524.998;424.998;524.998;524.998;624.999;524.999;524.999;424.999;524.999;424.999;524.999;424.999;424.999;424.999;524.999;524.999;524.999;624.999;424.999;524.999;624.999;524.999;724.999;624.999;424.999;624.999;424.999;624.999;424.999;524.999;624.999;624.999;625;525;525;625;825;424.999;624.999;424.999;625;725;624.999;524.999;725;525;425;525;525;525;424.999;425;625;
3:418.667;420.632;321.567;322.071;522.031;323.351;422.191;422.214;322.398;422.215;421.786;422.297;420.815;420.635;421.846;522.199;521.878;322.684;422.621;323.04;522.018;521.612;422.813;622.552;422.915;623.186;423.782;523.682;423.603;522.52;423.368;623.096;423.534;423.684;423.446;423.025;623.433;723.61;423.957;324.104;524.026;524.157;524.365;424.219;424.268;324.329;524.244;424.58;424.396;324.528;324.44;424.634;424.501;424.558;424.749;324.702;424.812;424.597;324.693;424.575;424.609;324.729;424.642;324.595;524.713;524.646;224.761;324.807;424.733;324.778;624.691;624.737;524.615;524.557;624.652;524.687;424.638;524.452;424.224;424.359;424.433;424.573;424.596;524.545;424.665;524.427;324.615;324.688;424.463;524.458;324.59;424.6;424.734;624.629;424.773;524.79;324.78;524.685;524.753;424.809;424.732;424.461;324.714;324.732;324.8;424.733;424.52;424.648;324.629;324.701;424.751;524.672;524.814;424.836;724.748;524.747;224.86;424.846;424.876;524.897;424.918;424.902;324.931;424.944;224.949;624.936;424.937;324.931;624.945;624.92;424.892;524.945;424.937;424.935;424.915;424.926;424.93;424.932;624.946;424.949;524.921;324.929;324.917;424.935;424.919;424.91;324.909;524.88;624.885;624.895;424.918;324.921;524.917;324.93;424.871;424.869;424.891;524.869;524.941;424.919;424.916;324.946;424.922;324.962;424.944;624.926;324.941;424.938;524.936;524.948;424.954;424.967;424.954;524.966;324.978;424.976;424.957;424.963;324.975;424.96;324.969;424.957;324.966;424.967;324.985;424.965;324.983;324.979;324.979;324.979;324.975;524.973;624.959;424.975;524.966;424.978;524.98;324.983;424.981;424.974;
4:101.675;2.31562;2.82628;3.7863;4.85138;5.79652;7.19163;107.741;9.63768;10.393;109.468;12.1662;110.494;13.9339;15.1257;15.7624;115.311;17.283;18.1644;18.9296;118.276;116.893;19.3392;20.7022;119.193;20.6516;20.7377;118.179;20.664;22.3552;22.0955;121.845;121.363;121.994;22.7937;121.424;22.7409;23.2091;23.3802;122.686;23.7145;124.005;24.4546;123.605;124.072;24.6736;124.49;124.63;124.271;24.4559;124.343;24.6276;124.263;24.7516;24.7928;224.46;24.7174;24.8484;24.8375;124.537;24.7484;24.6942;24.7698;24.8729;124.718;24.8521;24.907;24.9189;24.9351;24.9373;124.933;24.9648;24.948;124.921;24.9689;24.9514;124.922;24.9755;124.944;124.949;124.951;24.9776;124.985;24.9878;24.9915;24.9913;24.9953;24.9917;24.9914;24.9933;124.992;24.9915;124.98;24.9897;24.9917;124.98;24.9953;24.9913;124.981;24.9944;24.9934;124.98;124.976;24.9956;24.9913;24.996;24.9901;24.9953;24.9922;24.9968;124.987;24.9983;24.9971;24.9972;24.9973;24.9974;124.992;24.9972;124.995;24.9971;24.9933;124.986;24.9904;24.9941;24.9955;124.433;124.992;24.996;124.994;124.993;124.129;24.997;124.996;24.998;224.995;124.666;124.997;124.997;24.999;124.996;124.573;124.996;124.947;224.995;24.9987;24.9977;124.996;124.998;124.997;24.9979;124.999;124.999;124.999;225;224.999;125;225;224.999;324.999;324.999;324.999;225;325;224.999;425;224.999;324.999;325;225;225;425;325;424.999;424.999;325;225;225;324.999;324.999;225;325;325;325;225;425;425;325;425;425;525;225;225;325;125;325;325;325;225;225;225;
5:220.462;221.106;320.313;321.425;318.545;319.088;418.782;319.964;417;319.366;416.647;413.215;219.958;218.786;219.705;419.905;416.4;419.652;519.593;518.235;620.031;420.22;420.536;420.705;319.686;522.15;621.45;422.036;521.945;421.425;422.729;422.764;523.222;523.302;323.565;523.098;423.229;523.084;423.019;423.355;523.548;423.903;524.068;324.108;524.163;424.004;523.487;623.786;424.012;524.096;524.192;524.224;424.285;524.048;524.232;424.274;424.303;724.14;424.556;424.592;524.576;524.602;524.548;424.552;524.308;524.365;424.671;324.699;324.744;524.629;424.684;424.811;424.826;424.513;424.781;524.782;424.833;424.854;324.869;524.874;524.898;524.919;524.688;524.927;424.889;424.964;324.976;424.97;324.979;324.982;324.981;724.941;324.967;524.969;424.985;424.989;724.99;424.991;424.989;424.992;524.992;324.994;424.995;624.995;424.994;524.995;624.996;624.995;524.995;624.995;524.996;524.996;524.997;524.998;524.997;624.998;424.998;524.999;524.998;624.998;424.998;524.999;624.999;524.999;624.999;424.999;424.998;624.999;724.999;524.999;424.999;624.999;524.999;424.999;424.999;524.998;624.998;424.998;424.999;424.999;524.999;324.999;424.999;525;224.999;624.999;624.999;624.999;524.999;624.999;525;625;525;525;725;425;525;525;425;425;425;325;425;325;725;625;525;525;424.985;324.953;325;525;524.831;325;425;525;425;525;525;424.949;425;525;525;325;325;425;425;625;325;425;525;525;425;525;425;425;525;425;525;525;
6:107.862;109.304;110.531;12.0277;14.2901;213.175;212.622;113.51;15.5791;314.21;115.486;116.473;216.727;218.595;119.648;20.7881;220.046;121.168;121.338;221.929;222.457;122.487;222.162;322.523;223.457;222.465;122.219;222.726;123.352;123.526;223.498;23.709;123.791;24.003;124.213;123.709;224.055;124.072;224.343;124.313;123.573;124.527;124.331;124.291;124.547;124.528;124.583;124.623;124.711;124.701;24.7694;224.789;224.628;224.725;224.757;124.769;324.735;224.86;224.453;224.903;124.921;624.955;224.846;124.977;224.975;224.943;224.949;324.966;224.988;124.99;224.991;24.9957;224.995;24.9974;324.678;124.996;224.997;124.997;124.998;224.995;324.994;124.99;124.998;124.997;324.996;124.998;124.999;124.997;124.997;224.998;124.999;124.984;524.995;224.956;124.996;324.994;224.994;224.819;124.994;124.997;224.905;224.992;224.994;224.974;124.976;224.985;224.979;224.989;324.948;224.99;124.994;124.989;424.989;324.986;324.991;224.989;224.994;224.993;224.995;324.991;324.988;424.985;424.991;424.989;324.986;324.992;324.993;324.993;224.99;224.995;324.995;324.995;224.997;224.997;224.996;324.997;324.997;224.996;224.997;324.993;424.994;424.996;124.992;224.996;324.992;424.994;324.996;324.997;424.995;224.997;124.996;324.99;224.998;324.995;224.993;224.99;324.992;324.991;124.995;324.996;224.997;224.997;324.996;324.997;224.996;224.996;424.993;224.997;324.998;224.999;324.999;324.999;324.998;324.999;224.999;224.999;324.999;224.999;324.998;424.999;324.999;324.999;324.999;324.999;324.999;324.999;324.999;425;324.999;425;325;325;225;225;325;325;225;225;125;125;
7:124.897;224.895;124.9;224.814;124.81;124.925;324.844;324.919;124.933;224.895;224.913;324.918;324.914;324.908;424.931;224.898;324.909;424.874;424.951;424.943;224.949;224.951;324.966;424.953;424.963;424.96;524.968;324.937;224.955;424.963;324.957;224.968;324.967;424.967;324.968;224.968;424.954;224.971;424.952;524.94;424.925;324.944;424.949;324.95;324.949;324.96;624.966;424.941;224.963;424.943;624.961;424.961;424.955;224.964;524.969;324.958;524.97;324.961;224.971;324.979;224.982;324.984;524.976;224.986;324.977;424.981;324.983;324.991;324.992;224.992;224.995;524.994;324.991;324.993;424.991;424.99;424.991;424.972;324.988;324.989;424.98;224.992;224.99;324.981;424.99;324.971;324.974;224.99;324.974;424.983;324.988;424.976;324.978;424.968;424.973;324.978;324.976;324.972;324.972;324.976;324.964;324.962;324.954;424.944;424.949;324.954;324.962;324.97;524.97;324.978;324.982;524.971;324.971;224.979;424.967;424.977;324.969;524.978;524.974;324.977;724.983;424.984;324.982;524.984;324.977;324.977;524.982;324.972;324.973;224.983;524.966;424.965;424.974;324.98;224.98;324.985;224.985;424.986;324.982;224.985;424.983;324.984;524.982;524.97;324.973;324.975;424.977;324.969;324.969;424.972;324.972;424.953;324.961;324.961;324.96;224.958;424.966;224.958;324.832;324.964;424.858;224.964;324.956;224.94;324.961;224.943;324.804;424.912;324.777;224.965;324.955;324.894;324.957;424.956;224.947;224.952;224.959;224.96;324.856;324.968;224.976;224.951;224.98;524.975;224.961;324.971;524.977;424.979;224.981;424.949;224.983;424.984;324.984;324.98;224.977;224.98;424.959;324.975;324.96;424.978;
8:101.308;202.313;202.484;102.534;202.598;202.867;102.463;202.538;102.513;203.32;203.364;204.428;405.666;406.348;205.431;305.225;204.247;406.537;306.452;206.499;307.626;308.453;408.259;307.179;207.882;308.225;107.429;309.293;409.761;210.571;410.067;411.282;510.025;410.275;208.347;409.431;305.183;205.225;306.376;206.022;608.705;205.974;304.327;206.848;207.186;307.669;307.845;409.523;409.021;407.857;305.674;207.413;407.794;306.502;306.026;305.787;205.056;508.554;306.837;306.725;205.918;407.78;105.269;206.626;308.254;409.664;408.634;208.666;409.129;410.132;309.654;309.326;409.366;310.215;308.542;510.891;309.275;410.475;310.974;310.023;308.863;311.429;310.072;210.476;309.995;210.598;210.806;412.026;614.307;212.972;214.51;514.871;213.737;315.36;215.871;316.786;418.39;417.324;319.289;319.334;317.952;517.088;419.064;420.073;420.607;520.964;521.641;421.134;521.678;520.345;421.156;420.555;321.154;620.564;521.575;421.363;420.412;521.518;421.308;520.748;520.504;721.298;521.735;422.577;522.645;522.994;523.058;422.952;522.508;522.572;522.615;422.608;423.152;523.04;523.04;423.455;422.382;622.989;419.582;422.666;423.041;523.123;523.367;523.664;523.78;423.942;523.413;423.925;524.364;524.283;424.042;424.158;324.347;424.438;524.31;524.568;524.44;424.664;524.601;524.654;524.635;523.848;524.232;724.608;524.505;524.649;724.763;324.644;524.698;524.671;424.617;624.671;524.586;524.602;424.662;624.624;524.446;524.56;424.494;524.672;624.587;524.622;524.458;524.039;523.65;523.634;324.531;423.909;424.349;524.504;524.287;524.394;424.018;523.741;324.694;424.458;323.917;624.019;624.131;424.039;
9:119.787;318.198;317.741;416.939;219.908;220.022;221.294;319.265;221.217;220.109;220.656;319.541;319.826;420.372;321.316;321.408;221.889;322.35;321.99;323.085;322.711;322.998;323.378;323.429;223.83;223.984;423.685;323.079;223.86;323.752;323.936;224.179;324.351;423.911;424.228;324.151;424.107;324.15;323.975;324.177;723.823;224.374;324.324;524.144;324.321;424.437;524.132;324.481;524.376;424.389;324.043;324.038;224.022;324.122;524.236;324.098;324.386;224.534;424.397;324.361;224.604;324.693;324.634;224.598;424.522;324.679;324.718;324.728;524.717;524.646;324.543;424.579;324.508;624.141;324.519;424.513;324.59;324.456;324.709;324.78;224.853;224.835;324.773;124.875;224.84;224.869;224.842;224.875;224.878;124.91;224.913;324.912;324.878;324.931;224.94;324.883;324.91;324.88;224.914;224.928;324.931;224.938;424.943;224.92;324.922;324.926;224.953;324.919;524.938;324.945;224.951;324.941;224.941;224.955;224.943;224.937;224.948;124.969;324.95;224.963;224.963;224.968;124.978;224.979;224.979;224.98;324.981;124.987;424.981;224.987;324.989;224.987;324.985;224.983;224.988;324.989;224.993;224.991;224.992;224.994;224.995;224.992;224.995;224.994;224.995;324.992;424.991;424.989;324.994;124.995;324.996;324.995;224.996;324.997;324.997;324.994;224.997;224.997;524.997;324.996;224.997;324.996;324.997;224.993;224.993;224.996;324.995;224.993;224.996;224.997;224.998;424.994;224.997;224.997;124.998;324.997;224.998;224.998;224.998;424.998;224.999;224.999;324.999;124.999;224.999;224.999;224.999;324.999;224.999;224.999;224.999;224.999;225;225;225;325;325;125;225;225;
